long,lat,group,order,region,subregion
-76.21484375,43.97451019,35,9170,new york,main
-76.15182495,44.01461792,35,9171,new york,main
-76.1632843,44.0203476,35,9172,new york,main
-76.19192505,44.02607727,35,9173,new york,main
-76.2091217,44.0432663,35,9174,new york,main
-76.2263031,44.05472183,35,9175,new york,main
-76.24922943,44.04899597,35,9176,new york,main
-76.26068115,44.03180313,35,9177,new york,main
-76.26641083,44.02607727,35,9178,new york,main
-76.23776245,44.00888824,35,9179,new york,main
-76.24349976,43.97451019,35,9180,new york,main
-76.26641083,43.95732117,35,9181,new york,main
-76.28359985,43.96305084,35,9182,new york,main
-76.30078888,43.96878433,35,9183,new york,main
-76.30651855,44.00315857,35,9184,new york,main
-76.32370758,44.05472183,35,9185,new york,main
-76.37527466,44.08337402,35,9186,new york,main
-76.36954498,44.1120224,35,9187,new york,main
-76.34662628,44.12921143,35,9188,new york,main
-76.31224823,44.14639664,35,9189,new york,main
-76.15755463,44.20369339,35,9190,new york,main
-76.04296112,44.25526047,35,9191,new york,main
-75.97993469,44.29536819,35,9192,new york,main
-75.92836761,44.33547592,35,9193,new york,main
-75.82523346,44.39276886,35,9194,new york,main
-75.81377411,44.41568756,35,9195,new york,main
-75.79086304,44.45006561,35,9196,new york,main
-75.77939606,44.47871399,35,9197,new york,main
-75.79086304,44.49590302,35,9198,new york,main
-75.75075531,44.54174042,35,9199,new york,main
-75.64761353,44.60476685,35,9200,new york,main
-75.48146057,44.71935654,35,9201,new york,main
-75.28665161,44.85686493,35,9202,new york,main
-75.21790314,44.87978363,35,9203,new york,main
-75.09185028,44.93135071,35,9204,new york,main
-75.03455353,44.94853973,35,9205,new york,main
-75.00590515,44.97145844,35,9206,new york,main
-74.94287872,44.98864746,35,9207,new york,main
-74.89704132,44.99437714,35,9208,new york,main
-74.8397522,45.01156616,35,9209,new york,main
-74.81109619,45.01156616,35,9210,new york,main
-74.74234009,44.99437714,35,9211,new york,main
-74.72515869,44.99437714,35,9212,new york,main
-74.62775421,45.000103,35,9213,new york,main
-74.50743103,44.99437714,35,9214,new york,main
-74.38711548,44.99437714,35,9215,new york,main
-74.20949554,45.000103,35,9216,new york,main
-74.03187561,45.000103,35,9217,new york,main
-73.36151886,45.01156616,35,9218,new york,main
-73.35578918,44.96572876,35,9219,new york,main
-73.34432983,44.94281006,35,9220,new york,main
-73.39016724,44.86832428,35,9221,new york,main
-73.39016724,44.83395004,35,9222,new york,main
-73.36724854,44.80530167,35,9223,new york,main
-73.36151886,44.78238297,35,9224,new york,main
-73.37870026,44.68497849,35,9225,new york,main
-73.38442993,44.61049271,35,9226,new york,main
-73.37297058,44.57038498,35,9227,new york,main
-73.37297058,44.54746628,35,9228,new york,main
-73.35005951,44.51309204,35,9229,new york,main
-73.33286285,44.47298431,35,9230,new york,main
-73.32141113,44.42142105,35,9231,new york,main
-73.32714081,44.36412048,35,9232,new york,main
-73.32714081,44.30682755,35,9233,new york,main
-73.32714081,44.27244949,35,9234,new york,main
-73.34432983,44.23234177,35,9235,new york,main
-73.39589691,44.19223404,35,9236,new york,main
-73.41307831,44.16931534,35,9237,new york,main
-73.41880798,44.13493729,35,9238,new york,main
-73.45318604,44.066185,35,9239,new york,main
-73.42453766,44.00888824,35,9240,new york,main
-73.42453766,43.96878433,35,9241,new york,main
-73.41307831,43.93440247,35,9242,new york,main
-73.39589691,43.89429474,35,9243,new york,main
-73.39016724,43.85419083,35,9244,new york,main
-73.39016724,43.8140831,35,9245,new york,main
-73.37297058,43.7911644,35,9246,new york,main
-73.36724854,43.77397537,35,9247,new york,main
-73.37297058,43.745327,35,9248,new york,main
-73.38442993,43.72241211,35,9249,new york,main
-73.40162659,43.68803024,35,9250,new york,main
-73.43026733,43.65365601,35,9251,new york,main
-73.42453766,43.57916641,35,9252,new york,main
-73.40162659,43.56771088,35,9253,new york,main
-73.38442993,43.59062958,35,9254,new york,main
-73.36724854,43.61354828,35,9255,new york,main
-73.34432983,43.62500381,35,9256,new york,main
-73.32141113,43.61927795,35,9257,new york,main
-73.30422211,43.6078186,35,9258,new york,main
-73.28702545,43.5848999,35,9259,new york,main
-73.27557373,43.56771088,35,9260,new york,main
-73.26411438,43.55625153,35,9261,new york,main
-73.2583847,43.54479218,35,9262,new york,main
-73.26411438,43.48749542,35,9263,new york,main
-73.2583847,43.45312119,35,9264,new york,main
-73.2583847,43.38436508,35,9265,new york,main
-73.26984406,43.31560898,35,9266,new york,main
-73.28130341,43.18955612,35,9267,new york,main
-73.27557373,43.16091156,35,9268,new york,main
-73.26984406,43.10934448,35,9269,new york,main
-73.27557373,43.07496643,35,9270,new york,main
-73.28130341,42.99475479,35,9271,new york,main
-73.28130341,42.9431839,35,9272,new york,main
-73.28130341,42.89735031,35,9273,new york,main
-73.27557373,42.84005356,35,9274,new york,main
-73.28130341,42.81713867,35,9275,new york,main
-73.28130341,42.7884903,35,9276,new york,main
-73.28130341,42.74265289,35,9277,new york,main
-73.27557373,42.70254517,35,9278,new york,main
-73.31568146,42.59941101,35,9279,new york,main
-73.35005951,42.51346588,35,9280,new york,main
-73.37870026,42.45617294,35,9281,new york,main
-73.41880798,42.32439041,35,9282,new york,main
-73.47610474,42.17542267,35,9283,new york,main
-73.50475311,42.09521103,35,9284,new york,main
-73.49902344,42.04937363,35,9285,new york,main
-73.53340912,41.67694855,35,9286,new york,main
-73.54486084,41.53371048,35,9287,new york,main
-73.55632019,41.36755371,35,9288,new york,main
-73.56204987,41.30452728,35,9289,new york,main
-73.49902344,41.21858215,35,9290,new york,main
-73.53913116,41.19566345,35,9291,new york,main
-73.72248077,41.10971832,35,9292,new york,main
-73.6709137,41.02378082,35,9293,new york,main
-73.68810272,40.97220993,35,9294,new york,main
-73.69955444,40.95502472,35,9295,new york,main
-73.72248077,40.93783569,35,9296,new york,main
